"handle","name","profile_url","group","active"
"nbaaustralia_official","Natural Bodybuilding Australia","https://www.instagram.com/nbaaustralia_official/","NBA","yes"
"anb.australia","ANB Australia","https://www.instagram.com/anb.australia/","Direct Competitor","yes"
"anbqldofficial","ANB Queensland Official","https://www.instagram.com/anbqldofficial/","Direct Competitor","yes"
"nabbaaustralia","NABBA International Australia","https://www.instagram.com/nabbaaustralia/","Direct Competitor","yes"
"pca_australia","PCA Australia","https://www.instagram.com/pca_australia/","Direct Competitor","yes"
"wnbfaustralia","WNBF Australia","https://www.instagram.com/wnbfaustralia/","Direct Competitor","yes"
"ynf_australia","Your Natural Federation","https://www.instagram.com/ynf_australia/","Direct Competitor","yes"
"ifbbproleagueoz","Pro League Australia","https://www.instagram.com/ifbbproleagueoz/","Direct Competitor","yes"
"msfitnessaustralia","MS Fitness Australia","https://www.instagram.com/msfitnessaustralia/","Direct Competitor","yes"
"msfitnessaustralia_vic","MS Fitness Australia Victoria","https://www.instagram.com/msfitnessaustralia_vic/","MS Fitness Network","yes"
"msfitnessaustralia_perth","MS Fitness Australia Perth","https://www.instagram.com/msfitnessaustralia_perth/","MS Fitness Network","yes"
"icn_nsw","ICN NSW","https://www.instagram.com/icn_nsw/","ICN Network","yes"
"icnqld","ICN QLD","https://www.instagram.com/icnqld/","ICN Network","yes"
"icn_victoria","ICN Victoria","https://www.instagram.com/icn_victoria/","ICN Network","yes"
"icn_wa","ICN WA","https://www.instagram.com/icn_wa/","ICN Network","yes"
"icn_sa","ICN South Australia","https://www.instagram.com/icn_sa/","ICN Network","yes"
"icn_act","ICN ACT","https://www.instagram.com/icn_act/","ICN Network","yes"
"icn_tasmania","ICN Tasmania","https://www.instagram.com/icn_tasmania/","ICN Network","yes"
"icn_nt","ICN NT","https://www.instagram.com/icn_nt/","ICN Network","yes"
"icnnewzealand","ICN New Zealand","https://www.instagram.com/icnnewzealand/","International","yes"
"icn.indonesia","ICN Indonesia","https://www.instagram.com/icn.indonesia/","International","yes"
"dfba_global","DFBA Global","https://www.instagram.com/dfba_global/","International","yes"
"cbrfitexpo","Canberra Fitness Expo","https://www.instagram.com/cbrfitexpo/","Other","yes"
