date,handle,followers,published_content,source
2026-03-02,anb.australia,9200,484,historical_manual
2026-03-02,anbqldofficial,2000,0,historical_manual
2026-03-02,cbrfitexpo,2000,2,historical_manual
2026-03-02,dfba_global,1400,91,historical_manual
2026-03-02,icn.indonesia,1500,0,historical_manual
2026-03-02,icn_act,4300,202,historical_manual
2026-03-02,icn_nsw,15500,499,historical_manual
2026-03-02,icn_nt,1400,0,historical_manual
2026-03-02,icn_sa,6500,95,historical_manual
2026-03-02,icn_tasmania,2300,15,historical_manual
2026-03-02,icn_victoria,12200,334,historical_manual
2026-03-02,icn_wa,10900,192,historical_manual
2026-03-02,icnnewzealand,6000,313,historical_manual
2026-03-02,icnqld,17600,506,historical_manual
2026-03-02,ifbbproleagueoz,53600,175,historical_manual
2026-03-02,msfitnessaustralia,14800,99,historical_manual
2026-03-02,msfitnessaustralia_perth,1500,0,historical_manual
2026-03-02,msfitnessaustralia_vic,704,140,historical_manual
2026-03-02,nabbaaustralia,14300,303,historical_manual
2026-03-02,nbaaustralia_official,16600,534,historical_manual
2026-03-02,pca_australia,11200,167,historical_manual
2026-03-02,wnbfaustralia,6500,251,historical_manual
2026-03-02,ynf_australia,4900,0,historical_manual
2026-03-30,anb.australia,9200,534,historical_manual
2026-03-30,anbqldofficial,2000,0,historical_manual
2026-03-30,cbrfitexpo,2000,2,historical_manual
2026-03-30,dfba_global,1400,51,historical_manual
2026-03-30,icn.indonesia,1600,20,historical_manual
2026-03-30,icn_act,4400,299,historical_manual
2026-03-30,icn_nsw,15500,456,historical_manual
2026-03-30,icn_nt,1400,0,historical_manual
2026-03-30,icn_sa,6500,93,historical_manual
2026-03-30,icn_tasmania,2300,7,historical_manual
2026-03-30,icn_victoria,12300,363,historical_manual
2026-03-30,icn_wa,10900,186,historical_manual
2026-03-30,icnnewzealand,6000,342,historical_manual
2026-03-30,icnqld,17700,534,historical_manual
2026-03-30,ifbbproleagueoz,53600,216,historical_manual
2026-03-30,msfitnessaustralia,14900,120,historical_manual
2026-03-30,msfitnessaustralia_perth,1500,0,historical_manual
2026-03-30,msfitnessaustralia_vic,719,187,historical_manual
2026-03-30,nabbaaustralia,15100,310,historical_manual
2026-03-30,nbaaustralia_official,16700,542,historical_manual
2026-03-30,pca_australia,11300,143,historical_manual
2026-03-30,wnbfaustralia,6600,203,historical_manual
2026-03-30,ynf_australia,4800,0,historical_manual
2026-04-07,anb.australia,9200,538,historical_manual
2026-04-07,anbqldofficial,2000,0,historical_manual
2026-04-07,cbrfitexpo,2000,0,historical_manual
2026-04-07,dfba_global,1400,66,historical_manual
2026-04-07,icn.indonesia,1600,9,historical_manual
2026-04-07,icn_act,4500,334,historical_manual
2026-04-07,icn_nsw,15500,456,historical_manual
2026-04-07,icn_nt,1400,0,historical_manual
2026-04-07,icn_sa,6500,140,historical_manual
2026-04-07,icn_tasmania,2300,6,historical_manual
2026-04-07,icn_victoria,12300,351,historical_manual
2026-04-07,icn_wa,10900,192,historical_manual
2026-04-07,icnnewzealand,6000,366,historical_manual
2026-04-07,icnqld,17700,537,historical_manual
2026-04-07,ifbbproleagueoz,53800,262,historical_manual
2026-04-07,msfitnessaustralia,15000,125,historical_manual
2026-04-07,msfitnessaustralia_perth,1500,0,historical_manual
2026-04-07,msfitnessaustralia_vic,725,191,historical_manual
2026-04-07,nabbaaustralia,15300,265,historical_manual
2026-04-07,nbaaustralia_official,16800,540,historical_manual
2026-04-07,pca_australia,11300,135,historical_manual
2026-04-07,wnbfaustralia,6600,236,historical_manual
2026-04-07,ynf_australia,4800,0,historical_manual
2026-04-14,anb.australia,9200,540,historical_manual
2026-04-14,anbqldofficial,2000,0,historical_manual
2026-04-14,cbrfitexpo,2000,0,historical_manual
2026-04-14,dfba_global,1500,83,historical_manual
2026-04-14,icn.indonesia,1600,8,historical_manual
2026-04-14,icn_act,4500,365,historical_manual
2026-04-14,icn_nsw,15500,493,historical_manual
2026-04-14,icn_nt,1400,0,historical_manual
2026-04-14,icn_sa,6500,173,historical_manual
2026-04-14,icn_tasmania,2300,9,historical_manual
2026-04-14,icn_victoria,12400,344,historical_manual
2026-04-14,icn_wa,10900,251,historical_manual
2026-04-14,icnnewzealand,6100,411,historical_manual
2026-04-14,icnqld,17800,547,historical_manual
2026-04-14,ifbbproleagueoz,54100,372,historical_manual
2026-04-14,msfitnessaustralia,15000,145,historical_manual
2026-04-14,msfitnessaustralia_perth,1500,0,historical_manual
2026-04-14,msfitnessaustralia_vic,732,211,historical_manual
2026-04-14,nabbaaustralia,15800,227,historical_manual
2026-04-14,nbaaustralia_official,16800,541,historical_manual
2026-04-14,pca_australia,11300,166,historical_manual
2026-04-14,wnbfaustralia,6600,259,historical_manual
2026-04-14,ynf_australia,4800,0,historical_manual
2026-04-21,anb.australia,9300,541,historical_manual
2026-04-21,anbqldofficial,2000,0,historical_manual
2026-04-21,cbrfitexpo,2000,0,historical_manual
2026-04-21,dfba_global,1500,89,historical_manual
2026-04-21,icn.indonesia,1600,7,historical_manual
