date,collected_at,handle,followers,follower_precision,follower_source,total_posts,status,source,profile_url
2026-08-18,2026-08-18T12:52:21,nbaaustralia_official,18308,exact,apify,3288,ok,apify_instagram_scraper,https://www.instagram.com/nbaaustralia_official/
2026-08-18,2026-08-18T12:52:21,anb.australia,9589,exact,apify,2717,ok,apify_instagram_scraper,https://www.instagram.com/anb.australia/
2026-08-18,2026-08-18T12:52:21,nabbaaustralia,15878,exact,apify,2956,ok,apify_instagram_scraper,https://www.instagram.com/nabbaaustralia/
2026-08-18,2026-08-18T12:52:21,pca_australia,11394,exact,apify,2825,ok,apify_instagram_scraper,https://www.instagram.com/pca_australia/
2026-08-18,2026-08-18T12:52:21,wnbfaustralia,7190,exact,apify,819,ok,apify_instagram_scraper,https://www.instagram.com/wnbfaustralia/
2026-08-18,2026-08-18T12:52:21,ynf_australia,4639,exact,apify,815,ok,apify_instagram_scraper,https://www.instagram.com/ynf_australia/
2026-08-18,2026-08-18T12:52:21,ifbbproleagueoz,56491,exact,apify,7718,ok,apify_instagram_scraper,https://www.instagram.com/ifbbproleagueoz/
2026-08-18,2026-08-18T12:52:21,msfitnessaustralia,15362,exact,apify,3562,ok,apify_instagram_scraper,https://www.instagram.com/msfitnessaustralia/
2026-08-18,2026-08-18T12:52:21,msfitnessaustralia_vic,915,exact,apify,628,ok,apify_instagram_scraper,https://www.instagram.com/msfitnessaustralia_vic/
2026-08-18,2026-08-18T12:52:21,msfitnessaustralia_perth,1448,exact,apify,1357,ok,apify_instagram_scraper,https://www.instagram.com/msfitnessaustralia_perth/
2026-08-18,2026-08-18T12:52:21,icn_nsw,15884,exact,apify,6751,ok,apify_instagram_scraper,https://www.instagram.com/icn_nsw/
2026-08-18,2026-08-18T12:52:21,icnqld,17776,exact,apify,6775,ok,apify_instagram_scraper,https://www.instagram.com/icnqld/
2026-08-18,2026-08-18T12:52:21,icn_victoria,12683,exact,apify,4459,ok,apify_instagram_scraper,https://www.instagram.com/icn_victoria/
2026-08-18,2026-08-18T12:52:21,icn_wa,10974,exact,apify,4368,ok,apify_instagram_scraper,https://www.instagram.com/icn_wa/
2026-08-18,2026-08-18T12:52:21,icn_sa,6697,exact,apify,3100,ok,apify_instagram_scraper,https://www.instagram.com/icn_sa/
2026-08-18,2026-08-18T12:52:21,icn_act,4581,exact,apify,1870,ok,apify_instagram_scraper,https://www.instagram.com/icn_act/
2026-08-18,2026-08-18T12:52:21,icn_tasmania,2277,exact,apify,2145,ok,apify_instagram_scraper,https://www.instagram.com/icn_tasmania/
2026-08-18,2026-08-18T12:52:21,icn_nt,1413,exact,apify,297,ok,apify_instagram_scraper,https://www.instagram.com/icn_nt/
2026-08-18,2026-08-18T12:52:21,icnnewzealand,6434,exact,apify,1086,ok,apify_instagram_scraper,https://www.instagram.com/icnnewzealand/
2026-08-18,2026-08-18T12:52:21,icn.indonesia,1836,exact,apify,175,ok,apify_instagram_scraper,https://www.instagram.com/icn.indonesia/
2026-08-18,2026-08-18T12:52:21,dfba_global,1830,exact,apify,208,ok,apify_instagram_scraper,https://www.instagram.com/dfba_global/
2026-08-18,2026-08-18T12:52:21,cbrfitexpo,2125,exact,apify,331,ok,apify_instagram_scraper,https://www.instagram.com/cbrfitexpo/
