date,rank,handle,current_followers,comparison_followers,follower_change_30d_plus,growth_percent_30d_plus,comparison_date,comparison_days,comparison_source,current_total_posts,posts_since_previous_snapshot,previous_post_snapshot_date,ahead_of_nba
2026-09-06,1,ifbbproleagueoz,57539,56100,1439,2.57,2026-07-14,54,historical,7970,168,2026-08-31,yes
2026-09-06,2,nbaaustralia_official,18425,18200,225,1.24,2026-07-14,54,historical,3335,36,2026-08-31,no
2026-09-06,3,icnqld,17835,17700,135,0.76,2026-07-14,54,historical,6786,2,2026-08-31,no
2026-09-06,4,icn_nsw,16036,15800,236,1.49,2026-07-14,54,historical,6786,22,2026-08-31,no
2026-09-06,5,nabbaaustralia,15721,15900,-179,-1.13,2026-07-14,54,historical,2970,7,2026-08-31,no
2026-09-06,6,msfitnessaustralia,15466,15200,266,1.75,2026-07-14,54,historical,3589,10,2026-08-31,no
2026-09-06,7,icn_victoria,12893,12700,193,1.52,2026-07-14,54,historical,4462,1,2026-08-31,no
2026-09-06,8,pca_australia,11413,11300,113,1.0,2026-07-14,54,historical,2846,10,2026-08-31,no
2026-09-06,9,icn_wa,10997,11000,-3,-0.03,2026-07-14,54,historical,4373,3,2026-08-31,no
2026-09-06,10,anb.australia,9734,9500,234,2.46,2026-07-14,54,historical,2741,7,2026-08-31,no
2026-09-06,11,wnbfaustralia,7252,7100,152,2.14,2026-07-14,54,historical,832,3,2026-08-31,no
2026-09-06,12,icn_sa,6716,6700,16,0.24,2026-07-14,54,historical,3114,8,2026-08-31,no
2026-09-06,13,icnnewzealand,6517,6300,217,3.44,2026-07-14,54,historical,1093,6,2026-08-31,no
2026-09-06,14,ynf_australia,4620,4700,-80,-1.7,2026-07-14,54,historical,815,0,2026-08-31,no
2026-09-06,15,icn_act,4591,4600,-9,-0.2,2026-07-14,54,historical,1884,8,2026-08-31,no
2026-09-06,16,icn_tasmania,2277,2300,-23,-1.0,2026-07-14,54,historical,2149,1,2026-08-31,no
2026-09-06,17,cbrfitexpo,2220,2100,120,5.71,2026-07-14,54,historical,335,2,2026-08-31,no
2026-09-06,18,icn.indonesia,1838,1800,38,2.11,2026-07-14,54,historical,176,0,2026-08-31,no
2026-09-06,19,dfba_global,1837,1800,37,2.06,2026-07-14,54,historical,212,0,2026-08-31,no
2026-09-06,20,msfitnessaustralia_perth,1442,1500,-58,-3.87,2026-07-14,54,historical,1357,0,2026-08-31,no
2026-09-06,21,icn_nt,1432,1400,32,2.29,2026-07-14,54,historical,312,9,2026-08-31,no
2026-09-06,22,msfitnessaustralia_vic,935,893,42,4.7,2026-07-14,54,historical,662,14,2026-08-31,no
